id	H vs not-H
AMR_9862	0
AMR_9882	0
AMR_9976	0
AMR_595	0
C_668	0
C_675	0
C_676	0
CI_1888	0
AMR_1117	0
AMR_4831	0
AMR_896	0
Cry_178	0
Cry_188	0
AMR_L160	0
Cry_459	0
Cry_506	0
CNET_106	0
NCTC_13254	0
42_12_1	0
42_19_1	0
42_22_1	0
42_23_1	0
42_27_1	0
41_4_3	0
AMR_3994	0
Cry_532	0
AMR_5381	0
AMR_59	0
CE_M_10_2112	0
AMR_4422	0
AMR_3214	0
AMR_2016	0
AMR_6057	0
CI_0135	0
CHSK_I_57	0
CE_M_09_2073	0
CI_1675	0
AMR_4171	0
AMR_4235	0
AMR_6581	0
AMR_6574	0
AMR_4657	0
AMR_9520	0
AMR_3288	0
CE_M_10_3055	0
Ab_12993	0
Ab_13395	0
Ab_13557	0
Ab_13563	0
AMR_1708	0
AMR_2401	0
AMR_2445	0
AMR_2677	0
AMR_2685	0
AMR_2691	0
AMR_2692	0
AMR_2708	0
AMR_2804	0
AMR_2813	0
AMR_2855	0
AMR_4053	0
AMR_4068	0
AMR_4090	0
AMR_4097	0
AMR_4101	0
AMR_4165	0
AMR_452	0
AMR_5846	0
AMR_6160	0
AMR_6176	0
AMR_6403	0
AMR_6445	0
AMR_7028	0
AMR_8150	0
AMR_8350	0
AMR_8528	0
AMR_8882	0
AMR_9458	0
AMR_9460	0
CHSK_I_151	0
Cry_227	0
CHSK_I_155	0
AMR_2700	0
AMR_311	0
AMR_816	0
AMR_2387	0
AMR_2647	0
AMR_5069	0
AMR_548	0
AMR_2850	0
AMR_9200	0
AMR_636	0
AMR_740	0
AMR_821	0
AMR_833	0
CI_0223	0
AMR_686	0
AMR_2817	0
AMR_4206	0
C_010	0
CI_3762	0
AMR_10117	0
AMR_8109	0
AMR_8842	0
AMR_8993	0
AMR_7878	0
AMR_1207	0
CE_M_09_3068	0
AMR_507	0
CE_R_10_0553	0
CE_R_10_0443	0
C_018	0
C_035	0
C357	0
C362	0
C484	0
C485	0
C487	0
C756	0
C839	0
CE_M_09_3007	0
CE_R_09_0486	0
CE_R_09_0497	0
06_2870	0
CE_M_10_3086	0
CI_5342	0
CI_5343	0
CI_5344	0
AMR_1570	0
AMR_2930	0
AMR_3947	0
AMR_490	0
AMR_8892	0
Cry_185	0
Cry_213	0
38_30_1	0
40_23_2	0
CAMPY2528_2012_565	0
09_097670_1	0
10_005070_1	0
10_005070_2	0
C_1011	0
C_1150	0
C_1156	0
C_1201	0
C_1219	0
C129	0
C_129	0
C136	0
C_136	0
C188	0
C237	0
C239	0
C_240	0
C244	0
C250	0
C252	0
C_389	0
C438	0
C453	0
C_517	0
C522	0
C_526	0
C_527	0
C558	0
C593	0
CE_M_09_3042	0
CE_M_09_3063	0
CE_R_09_0488	0
CA99CN070022	0
CA99CN070029	0
CE_M_10_3101	0
CE_R2_11_0016	0
CE_R_11_0270	0
CE_R_11_0349	0
AMR_4684	0
32_11_1	0
32_19_1	0
32_2_1	0
32_1_1	0
38_5_1	0
C_367	0
C_033	0
C_1120	0
C_1255	0
C168	0
C173	0
C_173	0
C_439	0
C441	0
C_448	0
C454	0
C_454	0
C561	0
C595	0
C_615	0
C622	0
C631	0
C674	0
C737	0
CI_0136	0
CI_0137	0
CI_4391	0
CE_M_09_2016	0
CE_M_09_2019	0
CE_M_09_2078	0
CE_M_09_3037	0
CA99CN070013	0
CE_M_10_3007	0
CE_M_10_3049	0
CE_R2_11_0256	0
CE2_R_11_3021	0
CI_5898	0
CI_5899	0
CI_5900	0
CI_5901	0
CI_5902	0
CI_5906	0
CI_5907	0
AMR_10147	0
AMR_1464	0
AMR_1830	0
AMR_371	0
AMR_485	0
AMR_513	0
AMR_5893	0
AMR_6307	0
AMR_7324	0
AMR_8300	0
AMR_8358	0
AMR_8476	0
AMR_8626	0
29_16_1	0
29_6_1	0
Cry_144	0
CI_0245	0
CI_0303	0
CI_0438	0
CI_0445	0
CI_0446	0
AMR_8367	0
AMR_4315	0
AMR_7133	0
AMR_6874	0
AMR_7451	0
C670	0
C322	0
C324	0
C334	0
C_334	0
C_336	0
CE_M_09_3114	0
AMR_7985	0
10_018969_5	0
AMR_6183	0
10_018969_4	0
10_0790	0
10_0793	0
10_0770	0
10_0779	0
10_0783	0
10_0791	0
